MARCA;CATEGORIA;TRANSMISION;KILOMETRAJE;COLOR;VALOR MERCADO;PRECIO VENTA
Ford;Hatchback;automatic;23529;red;10500;11200
Chevrolet;Sedan;automatic;53040;blue;9000;10200
Ford;SUV;automatic;65548;black;16350;16600
Chevrolet;Sedan;automatic;53009;white;9575;10800
Ford;SUV;automatic;70977;silver;12050;11200
Cadillac;SUV;automatic;42547;white;46200;45750
BMW;SUV;automatic;31330;gray;38000;39500
BMW;SUV;automatic;21278;white;39300;41000
Ford;Sedan;automatic;2308;gray;10100;10500
Chevrolet;Sedan;automatic;60405;silver;9475;8500
Cadillac;SUV;automatic;54683;black;35000;35750
Ford;SUV;automatic;47548;black;19050;19100
Cadillac;SUV;automatic;35958;black;36600;39750
Ford;Hatchback;automatic;55855;gray;8275;8200
Chevrolet;Sedan;automatic;50616;white;9325;10600
Chevrolet;Extended Cab;automatic;41875;black;19700;20100
BMW;SUV;automatic;43405;gray;35100;37500
Chevrolet;Sedan;automatic;50621;red;6900;5700
Cadillac;SUV;automatic;63739;white;18850;17750
Ford;SUV;automatic;37704;blue;17050;18000
Chevrolet;Sedan;automatic;64637;white;9475;8900
Chevrolet;Sedan;automatic;81991;black;7700;8200
Honda;Sedan;automatic;24390;black;13500;13000
Honda;SUV;automatic;32923;blue;17500;18200
Hyundai;SUV;automatic;31776;silver;17350;15250
Hyundai;Sedan;automatic;48562;silver;14300;14000
Honda;Sedan;automatic;32212;gray;12400;12300
Hyundai;Sedan;automatic;28514;gray;12550;12700
Ford;Sedan;automatic;34063;black;11450;11400
Infiniti;G Sedan;automatic;21486;gray;19650;20000
Ford;Coupe;automatic;32535;black;13600;11500
Hyundai;Sedan;automatic;33191;white;12250;12800
Honda;Sedan;automatic;53340;gray;11100;12300
Hyundai;Sedan;automatic;80181;white;9150;10100
Honda;Sedan;automatic;12218;gray;13450;15300
Ford;Convertible;automatic;65201;white;10450;10700
Ford;Sedan;automatic;64035;blue;9550;8900
Infiniti;G Sedan;automatic;24485;blue;19350;19000
Honda;Sedan;automatic;73995;gray;9350;8900
Hyundai;Sedan;automatic;27949;black;11550;12900
Hyundai;Sedan;automatic;44190;red;15850;15000
Honda;Hatchback;manual;80733;black;9600;7000
Hyundai;Sedan;automatic;34363;white;11700;11700
Honda;Sedan;automatic;20370;silver;12550;12200
Honda;SUV;automatic;31884;gray;18100;13900
Hyundai;Sedan;automatic;32160;white;15850;16700
Honda;Minivan;automatic;38076;gray;15150;17400
Honda;Sedan;automatic;47076;white;11550;10600
Ford;Sedan;automatic;58023;silver;9875;10500
Honda;Sedan;automatic;28391;white;11500;13000
Honda;Sedan;automatic;63540;gray;9825;4300
Ford;Convertible;;48023;blue;11600;11800
Honda;Sedan;automatic;38131;white;11050;12200
Honda;Sedan;automatic;35782;black;11150;12100
Ford;Sedan;automatic;70151;black;9700;9500
Hyundai;Sedan;automatic;33305;white;10400;9700
Ford;Sedan;automatic;65771;blue;11900;12200
Honda;Coupe;automatic;33096;black;12650;13600
Hyundai;SUV;automatic;42446;black;14050;13500
Hyundai;Sedan;automatic;11427;blue;15000;16400
Hyundai;Sedan;automatic;28067;red;20600;19800
Honda;Sedan;automatic;49800;white;12300;13500
Hyundai;Sedan;automatic;39132;blue;10950;12100
Honda;SUV;automatic;19438;burgundy;18400;18600
Ford;Sedan;automatic;75658;white;8750;9200
Hyundai;Sedan;automatic;25054;white;16450;17100
Hyundai;Sedan;automatic;35970;silver;10250;10700
Hyundai;Sedan;automatic;47843;blue;9675;8000
Hyundai;Hatchback;automatic;34840;gray;8875;8500
Honda;Sedan;automatic;43155;blue;11550;12500
Honda;Sedan;automatic;36233;gray;14950;14600
Honda;SUV;automatic;48942;white;22700;22800
Honda;Coupe;automatic;34331;black;16300;17400
Honda;Sedan;automatic;24169;gray;13950;13300
Honda;Minivan;automatic;32967;burgundy;18050;20100
Hyundai;Sedan;automatic;37801;gray;11050;10800
Honda;Sedan;automatic;43775;black;11550;13000
Ford;Convertible;automatic;46700;red;11700;11500
Infiniti;G Sedan;automatic;20181;gray;19800;19500
Honda;Coupe;automatic;19340;red;12950;11200
Honda;Sedan;automatic;33248;gray;13700;14700
Honda;SUV;automatic;23288;white;28100;26750
Ford;Coupe;manual;28781;blue;19850;20250
Honda;Sedan;automatic;71774;gray;9600;8900
Infiniti;G Sedan;automatic;29331;white;18950;19500
Honda;SUV;automatic;43096;black;19550;19250
Hyundai;Sedan;automatic;53284;gray;10600;8000
Hyundai;Sedan;automatic;23468;white;16400;17500
Hyundai;Hatchback;automatic;44259;blue;8125;7900
Honda;Sedan;automatic;42418;gray;11600;12800
Hyundai;SUV;automatic;56451;gray;13100;13400
Honda;Sedan;automatic;35287;silver;13150;12800
Infiniti;G Sedan;automatic;30475;white;17150;18500
Honda;SUV;automatic;51201;gray;18900;17000
Ford;Sedan;automatic;120695;gray;8100;6000
Hyundai;Sedan;automatic;29954;blue;10600;11300
Honda;Coupe;automatic;29149;silver;10900;7500
Honda;Sedan;automatic;30961;white;12400;12500
Hyundai;Sedan;automatic;34411;black;10350;11600
Hyundai;SUV;automatic;40716;blue;14200;10100
Infiniti;G Sedan;automatic;17857;gray;20000;20500
Infiniti;G Sedan;automatic;21493;white;19650;20250
Infiniti;G Sedan;automatic;4220;gray;18300;22250
Honda;Sedan;automatic;27112;gray;12250;13500
Honda;Sedan;automatic;47851;silver;10550;11400
Hyundai;Sedan;automatic;39015;black;10100;11100
Honda;Sedan;automatic;28633;silver;13300;13600
Hyundai;Sedan;automatic;40057;black;15250;14400
Honda;Hatchback;automatic;25162;white;19050;20200
Hyundai;Sedan;automatic;35967;gold;16750;18600
Ford;Sedan;automatic;108714;blue;6500;6600
Honda;Sedan;automatic;46058;silver;11850;13200
Honda;Sedan;automatic;40568;blue;10900;11900
Hyundai;Sedan;automatic;72006;silver;12700;14200
Infiniti;G Sedan;automatic;35614;gray;18300;17500
Hyundai;Sedan;automatic;48016;black;15400;16500
GMC;SUV;automatic;12101;silver;17350;14950
Ford;Sedan;automatic;7521;silver;15400;14500
Honda;SUV;automatic;45307;blue;19200;18200
Honda;Sedan;automatic;43894;black;10750;12000
Honda;Sedan;automatic;65969;black;10500;11100
Hyundai;Hatchback;automatic;35087;black;8650;9600
Infiniti;G Sedan;automatic;13827;gray;20400;20000
Honda;Sedan;automatic;42990;silver;12650;13600
Ford;Sedan;automatic;116173;black;6425;6600
Ford;Sedan;automatic;45663;silver;11750;11600
Honda;Sedan;automatic;35404;gray;14400;15800
Honda;Minivan;automatic;34467;silver;22300;22250
Hyundai;Sedan;automatic;56172;black;10850;11000
Ford;Convertible;automatic;49668;red;11500;11200
Hyundai;Sedan;automatic;39542;brown;17400;17700
Ford;Sedan;automatic;62752;white;9525;9800
Hyundai;Sedan;automatic;43939;black;9950;11000
Ford;Sedan;automatic;41949;red;10900;10900
Honda;Coupe;automatic;32635;black;12700;12100
Ford;Sedan;automatic;66109;white;9325;8900
Honda;Sedan;automatic;27263;silver;12250;14100
Infiniti;G Sedan;automatic;12083;white;20600;20500
Ford;Sedan;automatic;62827;black;12800;11500
Infiniti;G Sedan;automatic;33958;black;16900;17000
Honda;SUV;automatic;35374;silver;17400;17200
Honda;SUV;automatic;78603;white;21900;23000
Honda;Sedan;automatic;19873;black;12750;12700
Honda;SUV;automatic;28883;white;24600;24000
Ford;Sedan;automatic;85743;black;10450;11000
Hyundai;Sedan;automatic;36369;white;11100;12700
Ford;Sedan;automatic;45384;silver;11700;12100
Honda;Sedan;automatic;103097;white;9225;8800
Honda;SUV;automatic;29120;black;24600;23000
Honda;Sedan;automatic;36218;black;10950;10600
Hyundai;Sedan;automatic;17437;black;14650;17400
Hyundai;Sedan;automatic;28016;black;17650;19100
Hyundai;SUV;automatic;44645;black;14450;12000
Infiniti;G Convertible;automatic;5710;black;28100;26250
Ford;Coupe;automatic;37966;red;13300;12100
Ford;Sedan;automatic;51424;white;11200;11250
Honda;Sedan;automatic;33415;silver;12000;13400
Honda;SUV;automatic;36828;blue;20200;17200
Honda;Sedan;automatic;30866;silver;13200;13900
Honda;SUV;automatic;35501;black;23900;23500
Honda;Sedan;automatic;36706;silver;12900;14000
Hyundai;Sedan;automatic;42665;blue;10800;11600
Infiniti;G Sedan;automatic;19831;gray;19800;18500
Ford;Sedan;automatic;52012;blue;10250;9250
Honda;Sedan;automatic;14528;black;13950;14000
Hyundai;Sedan;automatic;35584;black;11150;12700
Ford;Sedan;automatic;69921;black;9075;9100
Ford;Convertible;automatic;47558;black;11650;11400
Hyundai;Sedan;automatic;74227;purple;12750;13800
Infiniti;G Sedan;automatic;14334;black;20400;20250
Honda;SUV;automatic;57075;black;23900;24500
Hyundai;Sedan;automatic;35729;silver;15650;16300
Ford;Coupe;automatic;64757;white;12750;13250
Honda;Sedan;automatic;39312;black;14200;15800
Hyundai;Sedan;automatic;42403;gray;8025;8000
Hyundai;Sedan;automatic;40065;silver;10950;11900
Honda;Sedan;automatic;30908;gray;13200;14100
Honda;Sedan;automatic;31377;gray;13150;12500
Hyundai;Sedan;automatic;28181;white;11500;10200
Honda;Sedan;automatic;43570;red;10750;12200
Honda;Coupe;automatic;44061;blue;10400;9700
Honda;Sedan;automatic;24318;white;12850;12300
Hyundai;Sedan;automatic;40341;black;16250;19800
Honda;Minivan;automatic;83734;beige;12900;13700
Hyundai;Sedan;automatic;34230;gray;12200;12700
Honda;Coupe;automatic;56731;black;10000;9100
Infiniti;G Sedan;automatic;20345;gray;19750;19000
Honda;Sedan;automatic;32403;gray;12300;11500
Honda;Sedan;automatic;14958;gray;14150;12800
Hyundai;Sedan;automatic;37504;black;10250;7100
Hyundai;Sedan;automatic;46218;black;16950;18000
Honda;Sedan;automatic;25626;black;13600;13100
Ford;Sedan;automatic;85069;gray;8600;7900
Ford;Sedan;automatic;37315;gray;11200;12200
Hyundai;Sedan;automatic;48502;gray;10500;11500
Honda;Coupe;automatic;44830;blue;10700;10750
Ford;Sedan;automatic;64948;white;12050;12000
Honda;Minivan;automatic;36351;gray;17800;19100
Ford;Sedan;automatic;28992;silver;11750;12200
Honda;Sedan;automatic;20187;silver;13700;15300
Hyundai;Sedan;automatic;61835;silver;14550;11800
Infiniti;G Sedan;automatic;30100;gray;18850;15000
Honda;Sedan;automatic;35823;black;12150;11200
Hyundai;Sedan;automatic;40558;blue;8100;7900
Ford;Sedan;automatic;55817;gray;13250;10600
Honda;Sedan;automatic;25954;white;16500;17800
Ford;Sedan;automatic;56916;white;11800;10200
Hyundai;Sedan;automatic;60874;gray;9875;10000
Honda;Hatchback;automatic;32023;white;18400;18400
Honda;Sedan;automatic;21036;gray;11850;11300
Infiniti;SUV;automatic;31204;black;30000;26250
Honda;Hatchback;automatic;27308;gray;18850;16600
Hyundai;Sedan;automatic;44225;black;11700;10600
Hyundai;Sedan;automatic;44051;white;15050;15000
Infiniti;G Convertible;automatic;25421;black;25500;27500
Infiniti;G Sedan;automatic;27599;blue;19050;19000
Infiniti;G Sedan;automatic;18752;white;19900;20000
GMC;SUV;automatic;64883;silver;30900;29000
Infiniti;G Coupe;automatic;11090;black;23800;24000
Hyundai;Sedan;automatic;29454;black;19300;14400
Hyundai;SUV;automatic;24444;silver;18050;19600
Honda;Minivan;automatic;37403;silver;26800;26500
Honda;Sedan;automatic;24651;gray;11700;13400
Honda;Sedan;automatic;42543;silver;10700;11000
Infiniti;G Sedan;automatic;31239;black;18700;19000
Honda;Coupe;automatic;25315;white;11250;10900
Honda;Sedan;automatic;38065;silver;12850;14600
Mercedes-Benz;Sedan;automatic;24090;white;22500;23000
Infiniti;G Sedan;automatic;26216;white;22200;22750
Infiniti;G Sedan;automatic;28549;blue;21900;21250
MINI;Hatchback;automatic;36963;white;12600;14500
Kia;Sedan;automatic;40324;white;9300;10000
Jaguar;Sedan;automatic;12912;black;47000;49000
Infiniti;G Sedan;automatic;31557;gray;21700;23000
Mercedes-Benz;Sedan;automatic;34837;black;28000;27500
Jeep;SUV;automatic;33667;gray;12550;12750
Lexus;Sedan;automatic;45140;silver;21300;18500
MINI;Hatchback;automatic;54588;white;12050;13000
Infiniti;G Sedan;automatic;27289;blue;22100;22500
MINI;Wagon;automatic;37322;green;16100;16200
Jaguar;Convertible;automatic;16234;silver;53500;53000
Lexus;Sedan;automatic;97900;white;19750;11400
Infiniti;SUV;automatic;74806;gray;36500;34250
Lexus;SUV;automatic;47516;gray;25900;22500
Infiniti;G Sedan;automatic;21927;gray;22600;21000
Infiniti;G Coupe;automatic;31584;black;21600;22250
MINI;Hatchback;automatic;32031;red;13850;14000
Lexus;Hatchback;automatic;31349;white;20600;24250
Jeep;SUV;automatic;39702;red;24900;25000
Mazda;Sedan;automatic;47221;gray;10550;9500
Lincoln;Sedan;automatic;34103;gray;14650;13750
Lexus;SUV;automatic;83857;white;24300;22000
Kia;SUV;automatic;81598;silver;11150;11900
MINI;Hatchback;manual;17524;gray;18150;19000
Lincoln;SUV;automatic;33220;black;32200;32000
Jaguar;Sedan;automatic;20861;black;50600;50000
Lexus;SUV;automatic;33323;off-white;30000;31500
Infiniti;G Sedan;automatic;33382;blue;21400;22500
Kia;Hatchback;automatic;87145;black;8500;7000
Kia;SUV;automatic;41879;blue;16000;16500
Mazda;Sedan;automatic;33290;white;14800;15500
Lincoln;SUV;;12897;black;35100;34000
Jeep;SUV;automatic;71702;black;16250;18250
Lexus;SUV;automatic;35965;gray;27400;27500
MINI;Hatchback;manual;32427;red;13800;13750
Jeep;SUV;automatic;58226;white;23100;21800
Lexus;Sedan;automatic;49618;gray;21300;18800
Jaguar;Sedan;automatic;10743;silver;41000;40750
Jaguar;Convertible;automatic;14806;gray;53800;53500
Infiniti;G Sedan;automatic;54252;gray;17800;17300
Infiniti;G Sedan;automatic;33849;black;21300;20000
Mercedes-Benz;Sedan;automatic;48020;white;20300;20250
Infiniti;G Sedan;automatic;40700;black;21100;20750
Infiniti;Sedan;automatic;45538;white;24700;29250
Jaguar;Coupe;automatic;9708;black;48500;43200
Mercedes-Benz;Convertible;automatic;43642;white;30000;27900
Infiniti;G Sedan;manual;25896;black;22000;25250
Mercedes-Benz;Sedan;automatic;9628;silver;23800;22500
Infiniti;G Sedan;automatic;19479;black;22900;21250
Infiniti;Sedan;automatic;26668;gray;28200;27250
Jaguar;Sedan;automatic;37908;black;29900;30500
Mazda;SUV;automatic;21215;black;22000;23750
Kia;SUV;automatic;28510;black;16700;13700
Mercedes-Benz;Coupe;automatic;28993;white;29500;25500
MINI;Hatchback;manual;17030;white;15050;14750
MINI;Hatchback;automatic;18776;blue;14900;13500
Mazda;Sedan;automatic;17925;gray;10350;13500
Kia;SUV;automatic;53444;white;12550;14500
MINI;Hatchback;automatic;42571;green;13000;13500
Mercedes-Benz;Sedan;automatic;33699;white;21700;21250
Kia;Sedan;automatic;18518;black;11650;10250
Land Rover;SUV;automatic;56169;black;41900;39500
Jaguar;Sedan;automatic;26967;blue;33300;32250
Infiniti;G Sedan;automatic;22462;black;22600;23500
Infiniti;G Coupe;automatic;37490;white;21000;21000
Kia;SUV;automatic;32661;silver;13950;15200
Infiniti;G Sedan;automatic;31565;black;21600;21750
Kia;Sedan;automatic;54430;gray;16200;16200
Infiniti;Sedan;automatic;31067;gray;27500;26250
Jeep;SUV;automatic;92610;silver;14550;14500
Jaguar;Sedan;automatic;22339;white;29400;30500
Kia;Koup;automatic;37022;white;9750;11500
Mercedes-Benz;Convertible;automatic;19491;black;57400;58750
Kia;Sedan;automatic;47220;blue;16750;12900
Infiniti;G Sedan;automatic;26224;white;22200;20750
Lexus;SUV;automatic;36090;gray;27400;28500
Infiniti;G Sedan;automatic;26640;black;22100;22750
Mercedes-Benz;Sedan;automatic;34046;silver;21700;21750
Mazda;Sedan;automatic;49626;black;9600;10750
Mercedes-Benz;Sedan;automatic;20015;black;22900;22000
Infiniti;G Sedan;automatic;52859;gray;19250;17500
MINI;Convertible;automatic;41232;red;14600;15250
Kia;Wagon;automatic;51141;green;8175;9800
Jaguar;Sedan;automatic;27533;blue;38500;35500
Mazda;Sedan;automatic;48544;gray;8800;11000
Mercedes-Benz;Sedan;automatic;41302;white;26900;23000
Infiniti;G Sedan;automatic;49338;white;19650;22250
MINI;Convertible;automatic;36053;red;15000;15000
Mercedes-Benz;Sedan;automatic;32178;black;28500;28500
Mazda;Hatchback;automatic;33113;gray;12250;14500
Infiniti;G Coupe;automatic;49037;gray;20100;20750
Infiniti;G Sedan;automatic;31659;white;21600;20750
Jaguar;Sedan;automatic;63818;black;39900;37000
Lexus;SUV;automatic;33845;silver;27600;29750
Infiniti;G Coupe;automatic;43336;black;20600;19500
Infiniti;Sedan;automatic;47527;gray;24800;23750
Infiniti;G Sedan;automatic;17678;black;23100;22000
Kia;Minivan;automatic;66523;gray;9000;9000
Infiniti;Sedan;automatic;43774;white;25400;27000
Mercedes-Benz;Convertible;automatic;29315;gray;33800;28500
Infiniti;G Sedan;automatic;25586;black;22200;22500
Infiniti;G Coupe;automatic;44470;black;20300;22500
MINI;Hatchback;manual;79616;gray;11400;10250
Lexus;Sedan;automatic;13661;black;22800;23000
MINI;Hatchback;automatic;8536;white;15700;15500
Lexus;Sedan;automatic;33997;brown;21900;23500
Kia;Wagon;automatic;51215;silver;8150;9300
Jeep;SUV;automatic;42701;red;23300;22500
Land Rover;SUV;automatic;19547;gray;44300;46500
MINI;Hatchback;automatic;22094;red;14650;14500
Kia;Sedan;automatic;42315;gray;17150;18250
Infiniti;Sedan;automatic;18639;silver;29500;27500
Mazda;Hatchback;automatic;26072;gray;12550;14750
Kia;Sedan;automatic;26375;white;15350;15400
Infiniti;SUV;automatic;34994;gray;43600;42000
Infiniti;G Sedan;automatic;24873;gray;22000;20000
Kia;Sedan;automatic;39404;silver;11700;10250
Mercedes-Benz;Sedan;automatic;33942;white;21600;21000
Infiniti;G Coupe;automatic;29700;black;22000;21000
Infiniti;G Sedan;automatic;21609;black;22700;22000
Infiniti;G Sedan;automatic;44583;gray;20200;19000
Jeep;SUV;automatic;64624;red;21700;20900
Infiniti;G Sedan;automatic;27834;black;22000;20750
MINI;Hatchback;manual;25245;silver;13450;12000
MINI;Hatchback;automatic;14416;blue;15250;16000
Infiniti;Sedan;automatic;39257;gray;26200;25250
Jaguar;Sedan;automatic;22095;black;39300;35000
Lexus;Sedan;automatic;8055;gold;24700;23500
Jaguar;Sedan;automatic;48806;black;29000;28500
Mazda;Sedan;manual;28481;white;10750;9600
Kia;Wagon;automatic;22047;white;10250;12100
Lincoln;Sedan;automatic;35825;blue;14850;14250
Infiniti;G Sedan;automatic;52545;white;19200;20500
Kia;Sedan;automatic;12267;silver;16350;17000
Kia;Sedan;automatic;49523;silver;13750;14200
MINI;Hatchback;automatic;19744;blue;12950;14500
Kia;Sedan;automatic;32284;black;17650;15000
Infiniti;G Coupe;automatic;37322;white;21200;19500
Mercedes-Benz;Sedan;automatic;31215;gray;28700;29000
Infiniti;G Coupe;manual;28778;white;24200;23750
Lexus;Sedan;automatic;52392;black;21200;21250
Infiniti;G Coupe;manual;9633;black;25900;27500
;;automatic;60828;black;47600;40500
Mazda;Minivan;automatic;71064;gray;8250;10800
Kia;Wagon;automatic;27086;black;10150;3600
Lexus;Sedan;automatic;31675;silver;22800;24100
Lexus;Sedan;automatic;23023;blue;22400;21500
Infiniti;Sedan;automatic;36721;gray;25700;27250
Infiniti;G Sedan;automatic;23842;white;22400;23250
Kia;SUV;automatic;57480;white;18300;19400
Infiniti;G Sedan;automatic;43860;blue;20300;16750
Infiniti;G Sedan;automatic;44905;black;20200;23000
Jeep;SUV;automatic;36431;silver;14450;14100
Infiniti;G Sedan;automatic;17031;blue;23200;21000
Infiniti;G Sedan;automatic;29871;blue;21800;21750
Infiniti;Sedan;automatic;35421;black;26300;27750
Infiniti;Sedan;automatic;31821;black;27400;25500
Infiniti;G Sedan;automatic;42321;black;20400;21000
Infiniti;G Coupe;automatic;30681;gray;21700;22750
Infiniti;G Coupe;automatic;33491;gray;21600;23250
Lexus;Sedan;automatic;90943;white;23800;20750
Mazda;Sedan;automatic;41550;black;9775;11250
Infiniti;G Sedan;automatic;29586;gray;21800;22750
Mercedes-Benz;Sedan;automatic;32711;white;21800;23500
;;automatic;62786;black;46400;42500
Infiniti;Sedan;automatic;29321;black;26400;26000
Jeep;SUV;automatic;29745;silver;14750;15750
Jaguar;Sedan;automatic;28823;white;28500;32000
Jeep;SUV;automatic;142823;white;7950;5900
Infiniti;G Sedan;automatic;32906;gold;21400;21000
Kia;Sedan;automatic;77875;gray;7275;6500
Infiniti;G Sedan;automatic;42171;gray;20400;20250
Kia;Minivan;;69295;red;8650;9300
MINI;Hatchback;automatic;28376;red;14150;14000
Infiniti;Sedan;automatic;31389;gray;27400;25500
Lincoln;SUV;;41598;white;32400;31000
Land Rover;SUV;automatic;30055;white;42000;34500
Infiniti;G Sedan;automatic;28412;white;21900;21250
Mazda;Sedan;automatic;64821;gray;8000;9500
Nissan;Sedan;automatic;35691;gray;12300;10500
mitsubishi;;automatic;66882;red;7925;8400
Nissan;Sedan;automatic;33730;black;9600;10400
Mercedes-Benz;Convertible;automatic;26776;silver;58400;20500
Nissan;Hatchback;;42619;silver;7875;7600
Nissan;Sedan;automatic;37161;gold;12200;12250
Nissan;Sedan;automatic;61267;red;9925;9800
Ram;Regular Cab;automatic;81338;white;11750;10000
Nissan;Sedan;automatic;36353;white;12250;12000
Nissan;Hatchback;;43546;black;7825;8400
Nissan;Sedan;automatic;77489;blue;9125;8000
Nissan;Sedan;;55034;black;8450;5200
Toyota;Sedan;automatic;48994;black;17000;17000
Nissan;Sedan;automatic;57933;blue;15100;10000
mitsubishi;;automatic;66077;white;8000;7600
mitsubishi;;automatic;77118;black;7650;7900
Nissan;Sedan;automatic;53958;blue;10300;10000
Nissan;Hatchback;automatic;16850;silver;8900;2500
Nissan;Sedan;automatic;41233;white;11000;10400
Nissan;Sedan;automatic;39056;black;12100;12600
Nissan;Sedan;automatic;35285;black;12350;12700
Nissan;Hatchback;automatic;32712;silver;8750;8100
Nissan;Sedan;automatic;40330;white;12000;11500
Nissan;Van;automatic;137729;white;9525;10500
Nissan;Sedan;automatic;30786;black;17100;15000
Subaru;Hatchback;manual;27182;blue;21400;23750
Toyota;Sedan;automatic;59349;red;14900;15600
Nissan;Sedan;automatic;39109;gray;12100;10400
Nissan;Sedan;automatic;76716;white;7575;7400
Nissan;SUV;automatic;70973;black;28800;26000
Nissan;Coupe;automatic;20307;gray;70000;61000
Nissan;Hatchback;automatic;21393;black;11250;11250
Mercedes-Benz;SUV;automatic;18266;white;37100;37500
Mercedes-Benz;SUV;automatic;29338;gray;35600;34000
Nissan;Sedan;automatic;68499;white;10150;10500
Nissan;Hatchback;automatic;58768;black;7525;8400
mitsubishi;;automatic;50151;black;8225;5800
Mercedes-Benz;SUV;automatic;54184;gray;29200;28500
Mercedes-Benz;SUV;automatic;57821;gray;28100;27750
Porsche;SUV;automatic;49086;black;39000;38750
Nissan;SUV;automatic;33561;silver;27300;24000
Nissan;Sedan;automatic;26506;white;12900;14750
Porsche;Sedan;automatic;49288;gray;52800;49750
Toyota;Sedan;automatic;52277;black;13550;12900
Nissan;Sedan;automatic;12490;gray;13850;15000
Subaru;SUV;automatic;32594;gray;16700;16000
Ram;Quad Cab;automatic;52039;white;15900;17300
Porsche;Sedan;automatic;29549;red;50300;51500
Scion;Hatchback;automatic;19565;burgundy;13700;13000
Mercedes-Benz;SUV;automatic;59940;black;27300;25000
Nissan;Sedan;automatic;45196;black;11700;12200
Nissan;Coupe;automatic;26390;blue;13900;10200
Porsche;SUV;automatic;42303;gray;40300;41500
mitsubishi;;automatic;46008;black;8450;6500
Nissan;Sedan;automatic;61044;blue;8600;5000
Mercedes-Benz;Sedan;automatic;63968;black;36400;31250
Nissan;Sedan;automatic;60716;red;10700;9100
Nissan;Sedan;automatic;37887;white;12050;19000
Nissan;Hatchback;;9281;blue;10500;11500
Mercedes-Benz;Sedan;automatic;34751;gray;42400;37500
Mercedes-Benz;SUV;automatic;60646;gray;27700;26250
Nissan;Sedan;automatic;40578;beige;12000;12000
Nissan;Sedan;automatic;25317;blue;13000;13000
Mercedes-Benz;SUV;automatic;61663;black;26900;26801
Nissan;Sedan;automatic;13853;white;13750;13250
Nissan;Sedan;;32247;blue;9675;7300
Porsche;Coupe;automatic;16480;black;70000;72500
Nissan;Sedan;automatic;60795;silver;10650;12500
Nissan;Sedan;automatic;52004;white;11250;11250
Nissan;Hatchback;automatic;18201;white;11500;12500
Nissan;Sedan;automatic;61281;black;9850;9800
Nissan;Sedan;automatic;20829;white;13300;13250
Nissan;Sedan;automatic;33732;white;12450;12500
Nissan;Hatchback;automatic;41746;white;8275;9300
Nissan;SUV;automatic;26320;white;16150;16000
Nissan;Sedan;automatic;26203;white;12950;13000
Nissan;Sedan;automatic;31843;black;12550;15250
Nissan;Sedan;automatic;44525;white;11750;11500
Nissan;Coupe;automatic;11015;white;15000;15250
Nissan;Sedan;automatic;34554;white;12400;14750
Nissan;Sedan;automatic;22467;white;13200;13000
Porsche;Sedan;automatic;38926;brown;49700;50500
Scion;Wagon;automatic;18257;silver;12200;12700
Porsche;SUV;automatic;27043;gray;41400;44500
Nissan;Sedan;automatic;98380;white;9525;8250
Mitsubishi;Sedan;automatic;48910;silver;8125;9500
Nissan;Sedan;automatic;21689;white;13250;12000
Nissan;Sedan;automatic;45473;white;11650;12100
Toyota;Sedan;automatic;82708;black;12000;12200
Nissan;King Cab;automatic;227606;white;5000;5100
Nissan;Sedan;automatic;44039;white;11750;12900
Mercedes-Benz;Sedan;automatic;46114;black;26900;24000
Mercedes-Benz;Sedan;automatic;36395;black;43900;43500
Toyota;Sedan;automatic;41266;gray;14000;4750
Nissan;Sedan;automatic;40281;white;11000;11250
Mercedes-Benz;SUV;automatic;53595;white;33200;32000
Nissan;Coupe;automatic;50358;gray;12300;12000
Nissan;SUV;automatic;33829;gray;25500;24000
Nissan;Sedan;automatic;74249;white;9775;10250
Nissan;Sedan;automatic;14887;beige;13700;11500
Mitsubishi;SUV;automatic;28647;gray;11300;11200
Nissan;Sedan;automatic;20526;white;13300;12500
Mercedes-Benz;SUV;automatic;59472;black;27500;28901
Mitsubishi;SUV;automatic;44491;blue;12300;13000
Nissan;SUV;automatic;25635;gray;16300;15250
Nissan;Sedan;automatic;26220;white;12950;10750
Nissan;Sedan;automatic;11951;white;13900;13700
Subaru;Sedan;manual;36323;blue;18550;20800
Nissan;Hatchback;automatic;38247;silver;10750;9000
Nissan;Hatchback;automatic;26920;black;11050;12000
Nissan;Sedan;automatic;66364;black;9675;10500
Nissan;Sedan;automatic;34155;black;9300;10400
Nissan;Hatchback;automatic;19395;black;11650;11000
Nissan;Hatchback;automatic;33641;red;8650;9600
Nissan;SUV;automatic;41350;red;13000;14000
Nissan;Sedan;automatic;18891;gray;13400;15500
Nissan;Sedan;automatic;40401;white;12000;12200
Subaru;Sedan;automatic;69460;gray;12050;12500
Mercedes-Benz;SUV;automatic;68895;silver;24600;25000
Mitsubishi;SUV;automatic;37816;black;12150;12600
Nissan;SUV;automatic;56424;silver;15200;12250
Mercedes-Benz;SUV;automatic;60981;gray;27000;26250
Nissan;Crew Cab;automatic;81015;black;14200;13300
Mercedes-Benz;SUV;automatic;42503;gray;33700;29750
Mercedes-Benz;SUV;automatic;55050;gray;28700;27900
Nissan;Coupe;automatic;26958;silver;13850;13500
Nissan;Sedan;automatic;53345;white;11150;8400
Mercedes-Benz;SUV;automatic;18330;white;41000;36750
Nissan;Sedan;automatic;27499;white;12850;13000
Nissan;SUV;automatic;44066;black;15650;14250
Nissan;Sedan;automatic;59724;white;10750;10600
Nissan;Hatchback;automatic;13406;black;11800;12900
